station_id,lon,lat,elev_dem,group
AA_03008320,11.31283148,46.49768502,289.62072754,low
AA_03008690,11.30501737,46.34688534,402.09622192,low
AA_03002320,11.13656022,46.68805785,491.59033203,low
AA_03007490,11.52910687,46.59512810,670.60278320,low
AA_03007560,11.50596643,46.51315332,797.79010010,low
AA_03005970,11.93148055,46.80427934,876.25634766,low
AA_03003710,11.43855275,46.88504845,1024.59680176,low
AA_03005690,11.94743951,46.90025653,1041.49377441,low
AA_03000970,10.78026983,46.62375460,1051.51379395,low
AA_03008220,11.35506132,46.64063151,1112.93835449,low
AA_03006560,11.78557640,46.83445741,1151.92956543,low
AA_03001930,10.99117807,46.64766308,1195.80126953,low
AA_03006260,11.89793458,46.67918128,1262.93688965,low
AA_03002090,11.17808119,46.82249279,1288.83239746,low
AA_03004320,12.12893971,46.74313011,1294.89843750,low
AA_03008512,11.42685824,46.42048601,1322.30627441,mid
AA_03000310,10.46149465,46.63728041,1376.38818359,mid
AA_03006535,11.75335278,46.81105548,1389.03942871,mid
AA_03004100,12.21915910,46.72997826,1413.87585449,mid
AA_03007830,11.53659147,46.42887644,1422.81555176,mid
AA_03003450,11.30677417,46.90908278,1459.79382324,mid
AA_03008730,11.39682247,46.34654490,1469.89184570,mid
AA_03004270,12.10002035,46.71187800,1520.79260254,mid
AA_03003140,11.34757069,46.96396813,1606.52709961,mid
AA_03000220,10.52890217,46.77587224,1606.77905273,mid
AA_03006650,11.70294283,46.88717990,1624.54064941,mid
AA_03006860,11.62722016,46.84832888,1667.04199219,mid
AA_03007810,11.58587652,46.40507365,1674.22363281,mid
AA_03005650,11.87443284,46.89013589,1683.33264160,mid
AA_03004450,12.24271920,46.83526031,1690.67419434,mid
AA_03006130,11.87326094,46.55041103,1751.54870605,mid
AA_03005050,12.09912725,47.03658850,1815.52355957,high
AA_03004740,12.11660911,46.87035649,1842.56164551,high
VE_00000238,12.25007045,46.57641220,1855.73657227,high
AA_03008030,11.41444689,46.77985121,1874.96643066,high
AA_03007350,11.76842974,46.54555511,1877.33349609,high
AA_03002440,10.83181104,46.48684710,1912.72253418,high
AA_03002050,11.08827633,46.79651195,1933.38513184,high
TN_00000094,11.61360000,46.40450000,1978.90429688,high
AA_03005450,12.08249865,46.94283812,2020.66809082,high
AA_03001580,10.84927966,46.73565783,2032.64807129,high
AA_03000640,10.59532135,46.51613029,2126.43359375,high
VE_00000037,12.00683651,46.51873107,2198.62622070,high
AA_03000110,10.65658212,46.83743202,2342.38061523,high
